"Sample" "CH4_ug_m2_h" "CH4_logn1" "CO2_mg_m2_h" "CH4_CO2" "Bulk_dens" "H2O_FPS" "pH" "C" "N" "P" "CN" "NP" "NO3_N" "NH4_N" "Olsen_P" "NP_ext" "Salinity.x" "Cl" "SO4" "SO4_pw" "Fe" "Fe_pw" "DOC_mg_L" "CH4_mix" "CH4_H2" "CH4_ac" "CH4_me" "MOB_I" "MOB_II" "MOB_IIa" "ANME" "AOA" "AOB" "NOB" "Anamx" "SOxB" "SRB_syn" "SRB" "FeOB" "FeRB" "Actino" "Chlorf" "Firmic" "AO_NOB" "NOB_AO" "mcr_pmo" "pmo_mcr" "CH4_all" "CH4_ac_mix" "MOB_all"
"1" "Browns_ThreeSqA_D1" 0.472344434124008 0.521867807137261 1.05517851224574 -1.58283408133437 -0.447531567582735 1.8718701186312 0.795880017344075 0.912753303671323 -0.222573177610689 -1.03151705144606 1.19728766091932 1.15359603909387 -0.366531544420413 1.2143138974244 1.37106786227174 2.60219938551824 0.687112883888856 1.94929240141203 2.24328614608345 1.78966530674611 4.6028193424327 2.63317546048931 1.02160271602824 7.83176733788485 7.36610376553604 3.97378634275728 4.97378634275728 13.9148339490979 13.7947630353785 11.7253304018464 1 14.7633199877276 15.7811412648149 15.5153670027484 1 10.1133376951561 11.3401085570031 15.1706957852984 11.8956272798318 14.0222732167496 14.7177792038175 15.3574906352313 12.0371814240458 0.844820763649609 -0.844820763649609 -7.51467117867477 7.51467117867477 8.78114126481488 7.92798265314415 15.0120194774891
"2" "Browns_ThreeSqA_D2" 0.472344434124008 0.521867807137261 1.05517851224574 -1.58283408133437 -0.430446676033194 1.86343695107031 0.781755374652469 0.8561244442423 -0.301029995663981 -1.02227639471115 1.2879192835798 1.06589856435823 -0.3767507096021 1.45530177165708 1.34242268082221 2.82903958341204 0.687112883888856 1.99418512820232 2.24303804868629 1.78966530674611 4.6028193424327 2.63317546048931 1.02160271602824 9.22595627255023 9.38465401856929 4.38465401856929 5.38465401856929 15.1790698849194 14.4180770201067 14.1085993219121 1 13.2426350136969 15.4102550217732 15.5566647440136 1 12.3193277706913 13.3349668944689 16.7853555968668 13.6914752210664 13.6530010732518 14.693372256239 15.543053324714 13.067648602251 0.143516258669203 -0.143516258669203 -6.79703918744911 6.79703918744911 10.3771203458839 9.27542494881453 16.2260873253769
"3" "Browns_ThreeSqB_D1" 0.00519091699348966 0.136854850599525 0.564503378431224 -1.55931246461976 -0.458389494215773 1.876979524424 0.79448804665917 0.92272545799326 -0.22767829327708 -0.96657624451305 1.21561030564475 1.0835501165794 -0.42021640338319 1.39040515648008 1.26481782300954 2.70876141504514 0.638385482020926 1.89691184082603 2.16345955176999 1.35233690648196 4.61468634228201 2.64739275141172 1.30016053695135 6.8289264294324 6.63628135149001 3.82892642943241 1 14.0267574274446 13.6249660382622 11.600415898933 2.8289264294324 14.4454752732114 15.9322142378444 15.4705266452668 1 10.2298058657146 11.4727826192071 15.3906916930601 12.6992911490158 14.0998057247612 14.9403881692901 15.2101989851442 11.9452703906699 0.901915000317808 -0.901915000317808 -8.15608307628868 8.15608307628868 7.84156097914178 6.99885143087472 14.9850095057211
"4" "Browns_ThreeSqB_D2" 0.00519091699348966 0.136854850599525 0.564503378431224 -1.55931246461976 -0.395783713249511 1.84469714796454 0.773054693364263 0.808210972924222 -0.338187314462739 -1.09151498112135 1.26648768699661 1.09797983191306 -0.602059991327962 1.14207646107328 0.929418925714293 2.5864642984318 0.638385482020926 1.91413151263089 2.19534605834842 1.35233690648196 4.61468634228201 2.64739275141172 1.30016053695135 7.56143517369468 8.43590429161082 1 3.65454457808616 14.8150463256418 13.2167870023072 12.8529896195385 4.23950707880731 13.1761450178099 15.4743245099246 15.8370941183935 1 12.0010583112518 13.4763185600567 17.1861088008907 13.8658245255682 13.794735281278 13.9048429959925 15.6078316459643 11.7393529658905 -0.0957498546839204 0.0957498546839204 -7.03707943126079 7.03707943126079 9.10274577797268 7.57663003273499 15.4812916606064
"5" "Browns_TuleA_D2" 0.0381227220437559 0.161412393907493 0.0384264726962189 -1.00030375187239 -0.303178415659907 1.84235408367887 0.758911892397974 0.731588765186739 -0.410050398674292 -1.04575749056068 1.26000505135698 0.980359257251307 -0.602059991327962 1.19423674872383 1.39445168082622 2.59199600841027 0.415252918724635 1.79511498563036 2.02530586526477 2.23961976268917 4.62675085368339 2.92478566762559 0.956792520370495 8.47881254029168 8.66436819344776 2.80638719832019 4.39134969904134 14.1445664482203 14.5987708132554 12.5291947294897 2.80638719832019 14.1841399933424 15.2417970214835 15.8723081542677 1 11.1770746051274 12.1101679464973 15.9547048846295 13.0109583425694 15.270677672171 14.9491324750717 15.5070436512384 13.5753985194172 -0.0645127615547273 0.0645127615547273 -6.88657494676466 6.88657494676466 9.62656616073537 8.50682691646128 15.5756051944467
"6" "Browns_TuleB_D1" 0.267422593398911 0.344287787197098 0.431661125262276 -1.16423853334273 -0.410568518375777 1.86401518860603 0.781755374652469 0.859138297294531 -0.280668713016273 -1.00877392430751 1.21313073473141 1.07275737656376 -0.823908740944319 1.10002573010786 1.17026171539496 2.4590579728705 0.459282869308748 1.85302861471299 2.10209052551184 2.29467340354604 4.63447727016073 1.63578523553365 0.938269483462911 4.55589556318202 3.97093306246087 1 1 12.9946874157603 12.0636902033807 9.27471381063797 1 15.3032493926601 15.9483918805039 15.9020398954902 1 10.1206801819655 10.0153271818193 14.4772406435612 11.7750640836442 13.9236743096474 13.9877413501474 15.1367822086373 10.4221441742932 0.759545966319143 -0.759545966319143 -9.52898895268913 9.52898895268913 5.43303146297636 4.67362960906144 13.6731057478264
"7" "Browns_TuleB_D2" 0.267422593398911 0.344287787197098 0.431661125262276 -1.16423853334273 -0.378026390837657 1.84567634048607 0.752816431188271 0.77232170672292 -0.386158178123931 -1.0268721464003 1.30357037501398 0.985366133632964 -0.2518119729938 0.938519725176492 1.27415784926368 2.33765873814488 0.459282869308748 1.90449915539782 2.12936759572299 2.29467340354604 4.63447727016073 1.63578523553365 0.938269483462911 7.00864973202858 7.10175913642006 4.68672163714122 3.10175913642006 12.8912927813904 13.8228583251273 10.6486535963077 1 15.3553111990575 15.6355755258534 16.0464711974635 1 10.0206223736947 10.6095537766188 14.6184440857297 11.5693646865031 14.5457386790213 14.4946131762929 15.1878953614474 12.1017591364201 0.455767163934393 -0.455767163934393 -7.18252503822195 7.18252503822195 8.23104215336503 7.27168413786237 14.5322116880856
"8" "Browns_TuleC_D1" -0.107070671987647 0.0568667708792184 -0.0145996544338682 -1.09247101939899 -0.45258743923866 1.90509752631826 0.79309160017658 0.923244018630276 -0.254144804826271 -1.02227639471115 1.22291365796376 1.11278375533595 -0.886056647693163 1.12710479836481 1.18752072083646 2.49868881185727 0.438018878345919 1.91729540094569 2.13893394025692 2.31240693001686 4.53096768157191 0.864511081058392 0.934952707817858 9.84616652746672 9.37162801643921 4.38673490882942 6.70866300371678 13.6912763715197 14.568715348864 12.0755680073225 1 14.5859982685345 15.6539117362955 15.375892843118 1 11.4274812511727 11.8129996635315 15.4107202226738 11.7056542538444 12.8759138708608 15.4121052100194 15.5656072075379 13.5474467321104 0.840696909679099 -0.840696909679099 -5.93627737040631 5.93627737040631 10.7384103471108 9.8785880051591 15.3527596226298
"9" "Browns_TuleC_D2" -0.107070671987647 0.0568667708792184 -0.0145996544338682 -1.09247101939899 -0.39530803473086 1.87736031747225 0.787460474518415 0.761927838420529 -0.401209493236885 -1.13076828026902 1.27551048301447 1.07421095222897 -0.392544976785331 1.02448566769917 1.01283722470517 2.51680199974535 0.438018878345919 1.86675978349511 2.1078880251828 2.31240693001686 4.53096768157191 0.864511081058392 0.934952707817858 10.6079508060326 10.5564205053925 4.77506079186786 8.16737821464661 14.3628383081961 14.6679830154984 13.2917457411775 1 13.6330417869954 15.4321558967562 15.6736621792718 1 11.6236837322972 13.3267690534885 16.714364516215 13.1282076173659 14.3458652295924 15.2034209645721 15.914132445163 13.0110749837679 0.122899160770693 -0.122899160770693 -5.21951428320579 5.21951428320579 11.7234280234525 10.6330417869954 15.8019299971312
"10" "MayberryNE_CattailA_D1" 1.4245335048051 1.43035060190918 0.301447923899934 0.123085580809126 -0.197440517478528 1.82514788609186 0.866287339084195 1.14332712999205 -0.051587034221399 -1.13667713987954 1.13287353463128 1.42974227109447 -0.886056647693163 0.992995098431341 1.1430148002541 2.48048691874079 0.491361693834273 1.78915749191144 2.31827208021163 1.18780263871842 4.47041049097593 2.85302861471299 1.9478746548977 11.0761932382768 11.2183456222498 8.97909455017171 7.58220439760313 12.7746616123978 13.8932714998587 7.88476716762356 7.13474542063191 15.0644073238991 12.4401853927307 13.6097418426214 1 11.5548970516074 14.2047443561408 15.4772242048916 11.4566735155193 12.9664845013165 17.231400686163 16.4835741496506 17.4505125308926 1.67151439899856 -1.67151439899856 -2.95954039272822 2.95954039272822 12.3547939015001 11.3792173754393 14.455033157138
